name,value,year,lastValue,rank
Donald Pleasence,14,1994,1,3
Barbara Hale,14,1994,4,4
Brad Dourif,14,1994,0,5
J.T. Walsh,17,1995,0,1
Lance Henriksen,16,1995,1,2
Brad Dourif,16,1995,4,3
Barbara Hale,15,1995,3,4
Donald Pleasence,14,1995,2,5
J.T. Walsh,18,1996,0,1
Brad Dourif,17,1996,2,2
Lance Henriksen,17,1996,1,3
Barbara Hale,14,1996,3,4
Tom Sizemore,14,1996,0,5
J.T. Walsh,20,1997,0,1
Lance Henriksen,16,1997,2,2
Brad Dourif,16,1997,1,3
Samuel L. Jackson,16,1997,0,4
Harvey Keitel,14,1997,0,5
J.T. Walsh,20,1998,0,1
Brad Dourif,18,1998,2,2
Samuel L. Jackson,17,1998,3,3
Steve Buscemi,15,1998,0,4
Lance Henriksen,15,1998,1,5
J.T. Walsh,20,1999,0,1
Samuel L. Jackson,19,1999,2,2
Tom Sizemore,18,1999,0,3
Brad Dourif,17,1999,1,4
Eric Roberts,16,1999,0,5
J.T. Walsh,20,2000,0,1
Samuel L. Jackson,19,2000,1,2
Brad Dourif,18,2000,3,3
Bruce Willis,16,2000,0,4
Tom Sizemore,16,2000,2,5
Samuel L. Jackson,20,2001,1,1
Dolph Lundgren,17,2001,0,2
Tom Sizemore,17,2001,4,3
Bruce Willis,16,2001,3,4
J.T. Walsh,16,2001,0,5
Samuel L. Jackson,21,2002,0,1
Dolph Lundgren,17,2002,1,2
Tom Sizemore,16,2002,2,3
Eric Roberts,15,2002,0,4
Donald Sutherland,15,2002,0,5
Samuel L. Jackson,21,2003,0,1
Dolph Lundgren,16,2003,1,2
Donald Sutherland,16,2003,4,3
Tom Sizemore,15,2003,2,4
Christopher Walken,15,2003,0,5
Samuel L. Jackson,21,2004,0,1
Donald Sutherland,17,2004,2,2
Udo Kier,16,2004,0,3
Dolph Lundgren,16,2004,1,4
Philip Baker Hall,16,2004,0,5
Samuel L. Jackson,20,2005,0,1
Donald Sutherland,18,2005,1,2
Brian Cox,16,2005,0,3
Philip Baker Hall,16,2005,4,4
Dolph Lundgren,16,2005,3,5
Samuel L. Jackson,19,2006,0,1
Brian Cox,17,2006,2,2
Donald Sutherland,17,2006,1,3
Udo Kier,17,2006,0,4
Philip Baker Hall,16,2006,3,5
Samuel L. Jackson,18,2007,0,1
Donald Sutherland,17,2007,2,2
Udo Kier,17,2007,3,3
Morgan Freeman,15,2007,0,4
Willem Dafoe,15,2007,0,5
Samuel L. Jackson,20,2008,0,1
Udo Kier,17,2008,2,2
Bruce Willis,17,2008,0,3
Peter Stormare,16,2008,0,4
Dolph Lundgren,16,2008,0,5
Samuel L. Jackson,20,2009,0,1
Val Kilmer,17,2009,0,2
Lam Suet,17,2009,0,3
Brian Cox,16,2009,0,4
Willem Dafoe,16,2009,0,5
Val Kilmer,22,2010,1,1
Willem Dafoe,20,2010,4,2
Samuel L. Jackson,20,2010,0,3
Steven Seagal,20,2010,0,4
Lam Suet,18,2010,2,5
Val Kilmer,23,2011,0,1
Steven Seagal,21,2011,3,2
Lam Suet,20,2011,4,3
Michael Madsen,20,2011,0,4
Samuel L. Jackson,18,2011,2,5
Val Kilmer,27,2012,0,1
Brian Cox,23,2012,0,2
Michael Madsen,21,2012,3,3
Steven Seagal,19,2012,1,4
Samuel L. Jackson,18,2012,4,5
